ID No,Prog Code,Gender,YoG,CGPA,CGPA100,CGPA200,CGPA300,CGPA400,SGPA
30867,BCH,Female,2013,4.25,4.13,4.46,4.23,4.18,2.15
61462,BCH,Male,2013,3.83,3.73,3.72,3.81,4.07,2.85
31615,BCH,Male,2013,3.36,3.38,3.35,3.32,3.39,3.23
35331,BCH,Female,2014,3.47,3.46,3.33,3.94,3.32,3.13
70546,BCH,Male,2014,3.46,2.83,3.44,4.13,3.66,2.19
83356,BCH,Female,2014,3.64,3.98,3.11,3.71,3.76,2.92
89894,BCH,Female,2014,4.91,4.75,4.98,4.94,4.98,3.54
63387,BCH,Female,2014,3.02,2.73,2.92,3.03,3.34,2.64
95377,BCH,Female,2014,4.63,4.46,4.78,4.65,4.64,3.36
67162,BCH,Female,2014,4.20,3.77,4.37,4.16,4.51,2.99
57610,BCH,Male,2014,4.06,3.00,4.02,4.81,4.71,2.85
29869,BCH,Female,2014,3.70,3.69,3.35,3.65,4.06,2.64
55505,BCH,Female,2014,3.62,3.85,3.37,3.68,3.58,2.29
54816,BCH,Female,2014,4.24,4.33,4.04,4.52,4.24,3.20
69822,BCH,Male,2014,3.07,2.96,2.94,3.52,3.02,2.41
29696,BCH,Female,2014,3.72,3.58,3.65,3.84,3.83,2.47
96250,BCH,Female,2014,4.11,3.96,4.13,4.35,4.09,3.33
62285,BCH,Female,2014,4.38,3.98,4.13,4.77,4.80,3.98
92589,BCH,Female,2014,3.03,3.31,2.54,2.97,3.25,2.78
97014,BCH,Female,2014,3.26,3.50,2.96,3.32,3.27,4.18
29835,BCH,Male,2014,4.33,3.69,4.19,4.94,4.73,2.57
56265,MCB,Male,2010,4.13,4.35,3.48,4.43,4.35,3.19
32236,MCB,Male,2010,2.92,3.10,2.27,3.39,3.20,3.59
95984,MCB,Female,2010,3.17,2.71,2.85,3.93,3.56,2.86
24519,MCB,Female,2010,3.98,3.58,3.66,4.67,4.27,2.97
29994,MCB,Female,2010,3.96,3.90,3.71,4.07,4.23,2.99
64063,MCB,Female,2010,4.26,4.17,4.13,4.30,4.46,2.29
83948,MCB,Female,2010,3.85,3.67,3.70,4.17,4.00,4.11
33118,MCB,Female,2010,3.19,3.02,2.69,3.57,3.28,3.28
94989,MCB,Male,2011,3.78,3.57,3.24,4.39,4.19,3.52
27993,MCB,Female,2011,3.12,3.20,2.55,3.61,3.49,2.86
55933,MCB,Female,2011,4.70,4.70,4.53,4.86,4.80,3.68
54319,MCB,Male,2011,3.14,3.26,2.55,3.81,3.41,3.82
37769,MCB,Male,2011,2.29,2.53,1.98,2.52,2.29,2.73
65790,MCB,Female,2011,2.61,2.59,2.03,2.65,3.29,2.73
38329,MCB,Female,2011,2.53,2.54,2.22,2.84,2.69,2.95
67765,MCB,Female,2011,3.61,3.70,3.51,3.68,3.57,3.13
85500,MCB,Male,2011,2.56,3.15,1.72,3.55,2.54,2.27
72755,MCB,Female,2011,2.50,2.67,1.94,3.00,2.69,3.30
54660,MCB,Female,2011,3.39,3.67,2.94,3.76,3.39,3.13
78198,MCB,Female,2011,2.93,3.04,2.27,3.35,3.48,2.27
50420,MCB,Female,2011,2.60,2.98,2.34,2.58,2.59,2.97
71972,MCB,Female,2011,3.74,3.26,3.25,4.41,4.44,3.67
45568,MCB,Female,2011,3.87,3.61,3.53,4.29,4.27,3.59
41438,MCB,Female,2012,2.29,2.46,2.23,2.16,2.24,3.44
76075,MCB,Male,2014,2.32,2.61,1.98,1.77,2.67,2.68
78063,MCB,Female,2011,4.25,4.07,4.18,4.59,4.29,3.91
86041,MCB,Female,2011,2.28,2.35,2.03,2.23,2.46,2.86
25836,MCB,Female,2011,3.00,2.65,2.92,3.21,3.29,2.95
75888,MCB,Female,2011,3.64,3.20,3.40,4.52,3.77,2.50
42113,MCB,Female,2011,4.22,3.89,4.04,4.66,4.49,3.05
87505,MCB,Female,2011,3.54,3.41,3.20,4.28,3.61,3.13
41255,MCB,Female,2011,3.16,3.30,2.59,3.19,3.80,3.75
38409,MCB,Female,2011,3.93,3.70,3.65,4.52,4.15,3.44
64152,MCB,Female,2011,4.25,3.89,4.18,4.62,4.46,3.05
90420,MCB,Female,2011,4.50,4.39,4.20,4.83,4.76,3.52
60775,MCB,Female,2011,2.92,3.04,2.55,2.90,3.31,3.75
37039,MCB,Male,2011,3.46,3.26,2.88,4.19,3.98,2.92
91230,MCB,Female,2011,4.25,3.48,4.37,4.55,4.76,2.34
39114,MCB,Female,2011,3.98,3.26,3.84,4.52,4.53,3.13
62205,MCB,Female,2011,3.47,3.15,2.72,4.03,4.39,3.52
71910,MCB,Female,2011,4.55,4.43,4.53,4.72,4.56,3.83
82394,MCB,Male,2012,2.18,2.26,1.81,3.39,2.01,2.86
54606,MCB,Female,2011,3.83,3.54,3.42,4.16,4.41,3.44
74973,MCB,Female,2011,3.66,3.33,3.13,4.28,4.24,3.28
28749,MCB,Female,2011,4.09,3.50,3.94,4.62,4.56,3.91
29406,MCB,Male,2011,3.28,3.41,3.12,3.29,3.30,3.28
50336,MCB,Female,2011,3.81,3.46,3.47,4.28,4.25,3.52
34627,MCB,Female,2011,3.41,3.09,3.20,3.84,3.69,3.05
65917,MCB,Female,2011,4.55,4.35,4.71,4.79,4.41,3.75
70068,MCB,Female,2011,2.50,3.02,2.69,3.23,2.30,2.15
55791,MCB,Male,2011,3.89,3.30,3.67,4.45,4.39,2.73
77762,MCB,Female,2011,4.04,3.96,3.94,4.42,3.98,4.06
79850,MCB,Female,2011,3.68,3.63,3.19,4.03,4.15,3.84
46988,MCB,Male,2012,4.63,4.18,4.53,4.93,4.96,2.38
38648,MCB,Female,2012,3.84,3.63,3.55,4.24,4.18,2.60
84765,MCB,Female,2014,1.96,1.71,1.76,1.64,2.72,2.97
56919,MCB,Male,2012,3.69,3.20,3.45,4.03,4.14,3.57
64979,MCB,Female,2012,2.78,2.90,2.22,3.26,3.00,2.89
68153,MCB,Female,2012,2.80,3.33,2.03,3.61,2.62,2.64
29904,MCB,Female,2012,4.06,3.71,3.73,4.48,4.60,3.68
88770,MCB,Male,2012,4.29,3.96,4.22,4.66,4.51,3.44
33831,MCB,Female,2012,3.01,2.69,2.81,3.71,3.12,2.46
70995,MCB,Female,2012,3.02,2.80,2.73,3.90,2.85,2.68
79294,MCB,Female,2012,3.85,3.55,3.49,4.52,4.17,4.11
75612,MCB,Female,2012,3.53,3.71,2.77,4.17,3.83,3.26
71023,MCB,Female,2012,3.50,3.22,3.00,3.87,4.23,2.67
95084,MCB,Female,2012,4.50,4.31,4.29,4.86,4.74,3.52
70709,MCB,Male,2012,3.07,2.90,2.91,3.61,3.09,2.81
76227,MCB,Female,2013,2.12,1.69,1.77,3.19,2.24,3.13
28270,MCB,Female,2012,3.45,2.59,3.27,4.30,3.88,3.36
91438,MCB,Female,2012,3.17,2.69,2.89,4.00,3.43,2.34
34666,MCB,Female,2012,3.12,3.45,2.40,3.42,3.50,3.61
62254,MCB,Male,2013,2.83,2.27,2.88,3.58,2.85,3.04
63687,MCB,Female,2012,2.51,2.59,2.17,2.81,2.40,3.06
61676,MCB,Female,2012,4.14,3.45,4.47,4.59,4.23,3.40
58690,MCB,Female,2012,4.41,4.35,4.02,4.72,4.77,4.30
29337,MCB,Male,2012,2.52,2.41,2.03,2.61,3.00,2.54
64657,MCB,Male,2012,4.52,4.37,4.59,4.66,4.54,4.03
86769,MCB,Female,2012,3.89,3.57,3.65,4.52,4.15,3.88
51863,MCB,Female,2012,2.48,2.00,2.25,2.52,2.93,2.78
81642,MCB,Female,2014,1.79,1.65,1.80,1.74,1.87,2.13
48363,MCB,Female,2012,3.70,3.14,3.37,4.32,3.86,2.50
52884,MCB,Female,2012,4.01,3.55,4.02,4.59,3.86,3.30
30373,MCB,Female,2012,4.16,4.20,3.98,4.62,3.97,3.13
39768,MCB,Male,2013,2.07,3.04,1.94,2.23,1.58,3.13
67454,MCB,Female,2012,2.52,2.45,2.12,3.10,2.52,2.89
55958,MCB,Female,2012,4.03,3.78,3.76,4.83,4.10,3.98
84612,MCB,Male,2012,3.61,3.18,3.52,4.35,3.69,2.92
65308,MCB,Female,2012,3.35,3.31,3.37,3.69,3.02,2.64
84684,MCB,Female,2012,3.98,3.31,4.16,4.55,4.17,2.50
87463,MCB,Female,2012,2.34,2.69,2.02,2.06,2.49,2.17
64777,MCB,Female,2013,2.19,2.49,2.07,2.48,2.00,3.47
69247,MCB,Female,2012,3.61,3.37,3.18,4.23,3.74,2.71
24100,MCB,Female,2012,3.30,2.94,3.02,3.90,3.67,3.86
55026,MCB,Female,2012,3.79,3.55,3.10,4.62,4.32,3.20
33743,MCB,Female,2012,4.26,4.06,4.14,4.62,4.38,3.13
65869,MCB,Female,2012,3.89,3.59,3.73,4.03,4.30,3.40
56611,MCB,Female,2012,4.46,4.04,4.41,4.72,4.85,2.95
95820,MCB,Male,2012,4.54,4.22,4.65,4.59,4.76,4.30
61373,MCB,Female,2013,4.27,4.04,4.16,4.59,4.49,2.19
54104,MCB,Female,2014,2.19,2.23,1.93,2.34,2.32,2.99
35893,MCB,Male,2013,3.98,3.96,4.02,3.52,4.27,2.71
35370,MCB,Female,2013,2.59,2.58,2.20,2.42,3.13,2.42
78033,MCB,Female,2013,4.05,3.77,3.90,3.87,4.72,2.66
55766,MCB,Female,2013,2.74,2.77,1.95,2.55,3.68,2.71
61204,MCB,Male,2013,4.14,3.83,3.96,4.21,4.68,3.68
68727,MCB,Female,2013,3.44,3.29,3.14,3.41,3.90,3.68
30681,MCB,Male,2013,3.09,3.35,2.55,2.87,3.68,2.28
61527,MCB,Female,2013,4.45,4.42,4.22,4.34,4.87,3.96
75468,MCB,Female,2013,2.42,2.21,2.20,2.32,2.88,2.34
63093,MCB,Female,2013,2.45,2.56,1.72,2.71,2.86,3.05
91670,MCB,Female,2013,2.85,2.73,2.64,2.39,3.41,2.58
94773,MCB,Female,2013,3.86,3.79,3.65,3.83,4.23,2.97
91114,MCB,Female,2013,2.34,2.02,1.89,2.55,2.91,2.14
47396,MCB,Male,2013,3.80,3.88,3.29,3.45,4.61,3.20
63328,MCB,Male,2013,2.47,2.65,1.78,2.52,3.04,3.13
91867,MCB,Female,2013,3.93,3.96,3.60,3.61,4.50,3.40
65260,MCB,Female,2013,4.24,4.23,3.98,4.00,4.76,3.61
74172,MCB,Female,2013,3.27,3.46,2.62,3.55,3.76,2.85
26234,MCB,Female,2013,3.88,4.08,3.51,3.38,4.46,2.64
85544,MCB,Female,2013,2.69,2.88,2.10,2.74,3.16,2.50
94288,MCB,Male,2013,3.61,2.88,3.08,4.48,4.40,2.92
39347,MCB,Female,2013,2.71,3.08,2.09,2.77,3.02,2.41
73044,MCB,Female,2013,3.39,3.38,2.79,3.60,4.05,3.96
25695,MCB,Male,2013,3.06,3.15,2.53,2.93,3.70,2.85
36723,MCB,Male,2013,2.96,3.17,2.55,2.26,3.66,2.42
80074,MCB,Female,2013,4.22,4.06,3.94,4.21,4.77,3.57
83435,MCB,Female,2013,4.28,4.29,4.12,4.03,4.64,2.81
88837,MCB,Female,2014,2.38,2.50,1.95,2.66,2.58,2.73
74936,MCB,Female,2013,4.22,4.08,3.88,4.41,4.69,2.73
62245,MCB,Female,2013,3.71,3.77,3.11,3.55,4.50,2.77
54900,MCB,Female,2013,3.80,3.60,3.31,3.90,4.62,1.65
78766,MCB,Male,2013,2.93,3.54,2.26,2.89,3.21,3.05
69507,MCB,Female,2013,2.72,2.08,2.41,3.06,3.44,2.29
76957,MCB,Female,2013,4.37,4.19,4.08,4.41,4.95,3.40
27975,MCB,Female,2013,4.35,3.96,4.27,4.48,4.82,3.47
54885,MCB,Female,2013,4.04,4.08,3.71,3.83,4.59,2.35
88597,MCB,Female,2013,2.60,2.67,2.27,2.29,3.09,2.58
86251,MCB,Female,2013,3.43,3.15,3.12,3.03,4.38,2.81
51979,MCB,Female,2013,3.94,4.00,3.61,3.77,4.37,3.26
76661,MCB,Female,2013,3.98,3.75,3.88,3.86,4.46,2.41
84087,MCB,Male,2013,3.28,3.25,2.88,3.31,3.73,2.05
24795,MCB,Female,2013,3.15,3.19,2.82,2.90,3.68,2.34
59574,MCB,Female,2014,3.88,3.31,3.54,4.66,4.44,2.71
80796,MCB,Female,2014,3.28,3.52,2.86,3.13,3.04,2.15
46255,MCB,Male,2014,3.88,3.52,3.64,3.97,4.50,3.28
51788,MCB,Female,2014,3.72,3.44,3.27,4.23,4.20,2.66
38612,MCB,Female,2014,4.18,3.81,3.86,4.76,4.62,2.92
60854,MCB,Female,2014,3.65,3.60,3.22,4.10,3.88,2.89
83154,MCB,Male,2014,2.92,3.42,2.14,3.32,2.95,3.82
27184,MCB,Female,2014,3.76,2.98,3.52,4.45,4.38,2.10
72640,MCB,Female,2014,4.12,3.81,3.80,4.65,4.49,2.78
31546,MCB,Female,2014,4.14,4.06,3.94,4.34,4.33,2.92
95632,MCB,Female,2014,4.40,4.17,4.08,4.83,4.77,3.68
52510,MCB,Female,2014,3.33,3.40,2.73,3.84,3.57,1.70
65844,MCB,Female,2014,3.31,3.40,2.64,3.42,3.72,2.85
82841,MCB,Male,2014,3.99,3.85,3.57,4.52,4.28,4.10
53365,MCB,Female,2014,4.30,3.98,4.22,4.62,4.54,2.67
65341,MCB,Female,2014,4.41,3.90,4.29,4.86,4.87,3.75
32999,MCB,Female,2014,3.23,2.96,2.51,4.13,3.65,2.92
59543,MCB,Female,2014,3.59,3.19,3.51,4.28,3.69,3.26
76199,MCB,Female,2014,4.11,3.58,3.86,4.48,4.79,3.13
39626,MCB,Female,2014,3.90,3.77,3.35,4.48,4.31,3.59
59658,MCB,Female,2014,3.76,3.54,3.82,3.97,3.77,2.71
27508,BLD,Female,2010,3.25,2.31,2.58,3.56,3.70,1.96
61787,BLD,Male,2011,1.81,2.16,2.22,2.19,1.89,2.05
62223,BLD,Female,2010,2.61,2.60,2.18,2.67,2.27,3.04
94484,BLD,Male,2010,3.77,3.60,3.70,3.43,3.81,2.89
34541,BLD,Male,2010,3.42,2.89,3.33,3.05,3.44,2.15
75696,BLD,Male,2011,3.45,3.28,4.30,3.44,3.03,3.28
60639,BLD,Male,2013,2.28,2.16,2.09,2.29,2.45,3.13
48560,BLD,Male,2010,4.01,3.21,3.86,4.23,4.22,2.50
33258,BLD,Female,2010,4.36,3.81,4.34,4.50,4.41,3.75
77091,BLD,Male,2010,3.00,3.00,3.34,3.16,3.07,3.67
67598,BLD,Male,2011,2.47,2.28,2.01,2.27,2.90,2.86
62501,BLD,Male,2010,2.57,2.52,3.00,2.16,2.29,2.38
42866,BLD,Male,2011,1.81,2.72,1.23,1.70,1.88,2.41
75895,BLD,Male,2011,2.32,2.84,1.88,1.87,2.19,2.50
26729,BLD,Female,2011,4.06,3.75,3.25,4.20,4.29,3.44
44951,BLD,Male,2011,3.23,3.18,2.49,3.49,3.03,2.41
96200,BLD,Female,2011,3.50,3.20,2.40,3.72,4.29,2.58
38251,BLD,Male,2011,2.72,2.84,1.45,2.92,3.47,3.54
48313,BLD,Male,2011,3.57,3.12,3.02,3.52,4.08,2.57
71345,BLD,Male,2014,2.09,2.61,1.41,2.20,1.39,2.71
86279,BLD,Male,2013,2.97,2.12,2.76,3.69,2.91,2.86
59853,BLD,Male,2012,3.87,3.45,3.46,4.36,3.79,2.81
54772,BLD,Female,2012,4.02,3.20,3.91,4.51,4.36,3.28
58858,BLD,Female,2012,3.88,3.06,3.79,3.98,4.21,2.71
75874,BLD,Male,2012,3.68,3.86,3.82,3.86,2.93,2.75
29158,BLD,Male,2012,4.03,3.76,3.87,4.45,3.54,3.26
45418,BLD,Female,2012,3.12,2.73,2.89,3.32,3.36,2.95
65600,BLD,Male,2012,3.62,2.90,3.32,4.00,4.07,3.66
54655,BLD,Male,2012,3.01,3.06,2.86,2.79,2.81,2.86
45608,BLD,Female,2012,3.96,3.35,3.96,3.91,4.00,2.19
77830,BLD,Male,2012,3.00,2.62,2.88,3.04,2.88,3.28
52567,BLD,Female,2012,2.83,2.02,2.46,3.03,2.90,3.02
23836,BLD,Female,2012,4.16,3.51,4.02,4.36,4.42,2.77
87589,BLD,Male,2012,4.42,4.16,4.18,4.64,4.39,4.45
39972,BLD,Male,2012,2.94,2.94,2.63,3.27,2.82,2.23
85197,BLD,Female,2012,3.58,2.75,3.26,3.94,3.48,3.59
47498,BLD,Male,2012,3.55,3.16,3.45,3.48,3.65,2.58
25498,BLD,Male,2012,2.92,2.27,3.16,3.08,2.91,2.42
53366,BLD,Female,2012,3.51,2.70,3.23,3.86,3.46,3.13
31719,BLD,Male,2012,3.60,3.51,3.57,3.61,3.58,2.97
73842,BLD,Male,2013,2.33,2.87,1.91,2.24,2.67,2.27
87291,BLD,Female,2013,4.28,4.04,4.08,4.39,4.31,2.92
45055,BLD,Male,2013,3.35,3.04,3.13,3.28,3.54,2.89
61691,BLD,Male,2013,3.11,3.02,2.89,3.10,3.19,2.58
25071,BLD,Male,2013,4.12,3.37,3.71,4.52,4.65,2.57
36390,BLD,Male,2013,3.89,3.83,3.60,3.82,4.04,2.27
68780,BLD,Male,2013,3.02,3.07,2.70,2.85,3.04,3.36
92944,BLD,Male,2013,2.89,2.80,2.56,2.71,2.89,2.77
85612,BLD,Male,2014,2.45,2.59,2.00,2.14,2.25,3.13
64852,BLD,Female,2013,4.67,4.43,4.58,4.68,4.77,3.82
67697,BLD,Male,2013,3.48,3.78,3.28,3.25,3.31,2.57
43997,BLD,Male,2013,3.75,3.85,3.53,3.45,3.50,2.55
28292,BLD,Male,2013,2.74,3.39,2.31,2.23,2.63,3.05
44748,BLD,Female,2013,4.06,3.61,3.74,4.32,4.19,2.15
46689,BLD,Female,2013,4.64,4.09,4.62,4.91,4.69,3.36
68558,BLD,Male,2014,2.21,1.98,1.97,2.19,2.00,3.05
64091,BLD,Female,2013,2.51,2.37,2.33,2.54,2.06,2.07
81144,BLD,Male,2014,2.41,2.46,2.17,1.69,1.97,2.99
52712,BLD,Male,2013,2.74,2.61,2.53,2.33,2.76,2.22
89608,BLD,Male,2013,3.11,2.83,3.23,2.72,3.50,2.66
78324,BLD,Male,2013,3.46,3.04,3.09,3.36,3.65,2.43
57590,BLD,Male,2013,2.90,2.61,2.57,2.98,2.81,2.85
